Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group
KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.4218085691393649,0.5349891881288594,0,0,1.851103628881407,1.5978794932003777,PRKCB,0
KEGG_2021_Human,Pathways of neurodegeneration,3/475,0.4251569706984313,0.5349891881288594,0,0,1.273021142757295,1.088810954833443,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Leukocyte transendothelial migration,1/114,0.4361985658337181,0.5443469705858797,0,0,1.768749441315813,1.4674566165007243,PRKCB,0
KEGG_2021_Human,Neurotrophin signaling pathway,1/119,0.450233917137087,0.5527915560004646,0,0,1.6933744221879816,1.3512924945163796,IRAK3,0
KEGG_2021_Human,AMPK signaling pathway,1/120,0.4529991952356669,0.5527915560004646,0,0,1.6790595025889143,1.3295883355209954,PRKAG2,0
KEGG_2021_Human,Huntington disease,2/306,0.4539480327421034,0.5527915560004646,0,0,1.3155209452201932,1.0389623351923738,GNAQ;PLCB1,0
KEGG_2021_Human,Osteoclast differentiation,1/127,0.4719743392071369,0.5692265363087153,0,0,1.5852172518839185,1.1902297169988545,GAB2,0
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.4772750912018035,0.5692265363087153,0,0,1.560290404040404,1.1540879003160078,PLCB1,0
KEGG_2021_Human,FoxO signaling pathway,1/131,0.4825231566060633,0.5692265363087153,0,0,1.5361305361305362,1.119418823893266,PRKAG2,0
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1/131,0.4825231566060633,0.5692265363087153,0,0,1.5361305361305362,1.119418823893266,PRKCB,0
KEGG_2021_Human,Insulin signaling pathway,1/137,0.4979563925252978,0.5828791881497672,0,0,1.467914438502674,1.0234927306951356,PRKAG2,0
KEGG_2021_Human,Ubiquitin mediated proteolysis,1/140,0.5055012372413341,0.5871591294110882,0,0,1.4360148245040332,0.9796561960455776,COP1,0
KEGG_2021_Human,Breast cancer,1/147,0.5226721271590139,0.6006556156252358,0,0,1.366680503666805,0.8867035673377484,NCOA1,0
KEGG_2021_Human,Cell adhesion molecules,1/148,0.5250764322021929,0.6006556156252358,0,0,1.357314643028929,0.874397623216168,PTPRC,0
KEGG_2021_Human,mTOR signaling pathway,1/154,0.5392525329667543,0.6102813077236,0,0,1.3036904997689311,0.8051218322041944,PRKCB,0
KEGG_2021_Human,Non-alcoholic fatty liver disease,1/155,0.5415741406288901,0.6102813077236,0,0,1.295159386068477,0.7942892672270463,PRKAG2,0
KEGG_2021_Human,Necroptosis,1/159,0.5507453245925318,0.6143493814642579,0,0,1.2621148190768443,0.7528297591179895,JAK2,0
KEGG_2021_Human,Alzheimer disease,2/369,0.5533212972128415,0.6143493814642579,0,0,1.0861925151532,0.6428265859098229,GNAQ;PLCB1,0
KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.5707216454532212,0.6268537552394339,0,0,1.1935522893606727,0.6694081869063938,PRKCB,0
KEGG_2021_Human,Tight junction,1/169,0.5728862133976284,0.6268537552394339,0,0,1.1863876863876863,0.6608988084033616,PRKAG2,0
KEGG_2021_Human,Tuberculosis,1/180,0.5959948895695214,0.6426189852127174,0,0,1.1128604480559787,0.57593108520923,JAK2,0
KEGG_2021_Human,NOD-like receptor signaling pathway,1/181,0.5980332540921672,0.6426189852127174,0,0,1.10662177328844,0.5689241221993853,PLCB1,0
KEGG_2021_Human,Axon guidance,1/182,0.6000614365231335,0.6426189852127174,0,0,1.1004520341536916,0.5620264226281814,SSH2,0
KEGG_2021_Human,Pathogenic Escherichia coli infection,1/197,0.6292959845517696,0.6691809413191352,0,0,1.015460729746444,0.4703142614525967,MYO1F,0
KEGG_2021_Human,Focal adhesion,1/201,0.6367278257975183,0.6723489629050718,0,0,0.9949494949494948,0.4491331261764552,PRKCB,0
